Task,Mode,Participant,Run time,Created at,Robot count
maze_positioning,default,3r2Un75hG7BLfqaHZINMDg,88.946,2013-08-24 13:26:41 UTC,129,""
robot_positioning,default,3r2Un75hG7BLfqaHZINMDg,67.077,2013-08-24 13:28:01 UTC,10,""
varying_visualization,full-state,3r2Un75hG7BLfqaHZINMDg,94.956,2013-08-24 13:30:22 UTC,100,""
varying_visualization,full-state,3r2Un75hG7BLfqaHZINMDg,124.767,2013-08-24 13:35:01 UTC,100,""
pyramid_building,9.6,D5lpQ3eFGPkpmubny7giPA,307.461,2013-08-25 02:48:49 UTC,8,""
varying_visualization,mean,wT_f_8XoVARLO16ItmyD8Q,206.738,2013-08-25 03:11:32 UTC,100,""
varying_visualization,full-state,JWcnHoqit1ee0UnSFAX3Ew,385.347,2013-08-25 15:45:08 UTC,100,""
varying_visualization,mean & variance,JWcnHoqit1ee0UnSFAX3Ew,330.473,2013-08-25 15:51:16 UTC,100,""
varying_visualization,mean & variance,i80wQOnWua32PJMSllaw8g,196.88,2013-08-26 14:15:42 UTC,100,""
robot_positioning,default,dYXEZgVlRWXxjmL6T4o3ng,3.19,2013-08-26 14:25:20 UTC,1,""
varying_visualization,full-state,YAFkwRfTfKILhkD4i4R1hA,87.711,2013-08-26 14:27:37 UTC,100,""
varying_control,attractive,YAFkwRfTfKILhkD4i4R1hA,53.588,2013-08-26 14:28:53 UTC,16,""
varying_visualization,full-state,6xlxs24ZIJLAaivP5unmeg,164.367,2013-08-26 14:31:24 UTC,100,""
varying_visualization,full-state,HscGth8JbK5UfuYPf1181Q,138.896,2013-08-26 14:31:47 UTC,100,""
varying_control,repulsive,jhScQ0QN8hQQKXEQtXSeMQ,150.602,2013-08-26 14:34:56 UTC,16,""
varying_visualization,full-state,Zfczu0NFyndU53wFsDh32w,120.667,2013-08-26 14:35:27 UTC,100,""
robot_positioning,default,Peg3B-NkDkkAnGGxbuu4Dg,11.994,2013-08-26 14:35:31 UTC,3,""
varying_visualization,full-state,R9ZvMfo3iln-2F1hR5PzGw,186.407,2013-08-26 14:37:45 UTC,100,""
maze_positioning,default,R1SD4ECl1LRq-dBYCShFBA,81.858,2013-08-26 14:38:47 UTC,235,""
varying_visualization,full-state,MTF2tlFprKag6cf4cjj8QQ,188.292,2013-08-26 14:39:28 UTC,100,""
maze_positioning,default,R1SD4ECl1LRq-dBYCShFBA,52.823,2013-08-26 14:40:04 UTC,196,""
varying_visualization,convex-hull,PUCfWokQp94aTmggXVKklg,362.7,2013-08-26 14:41:05 UTC,100,""
varying_control,attractive,PH8Bll1u27zSylkijRrsog,77.637,2013-08-26 14:41:10 UTC,16,""
maze_positioning,default,PH8Bll1u27zSylkijRrsog,84.444,2013-08-26 14:42:51 UTC,77,""
robot_positioning,default,PH8Bll1u27zSylkijRrsog,20.516,2013-08-26 14:43:27 UTC,3,""
varying_visualization,mean & variance,PH8Bll1u27zSylkijRrsog,101.072,2013-08-26 14:46:47 UTC,100,""
varying_visualization,full-state,VU3dZzyPPpnH3oCEVyZFWw,97.502,2013-08-26 14:46:49 UTC,100,""
varying_visualization,full-state,MBbBAHuTjm249UB2_HTjEA,114.496,2013-08-26 14:47:04 UTC,100,""
robot_positioning,default,fRCoPu6J6_op9SsYpTU_lg,16.695,2013-08-26 14:47:47 UTC,3,""
varying_visualization,mean & variance,cixZfbGDpSN-BKNNvIiVCQ,69.408,2013-08-26 14:48:23 UTC,100,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,16.172,2013-08-26 14:48:51 UTC,2,""
maze_positioning,default,4DVWRc9p8mNyE07mWc02Jw,318.651,2013-08-26 14:48:59 UTC,149,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,7.87,2013-08-26 14:49:04 UTC,3,""
maze_positioning,default,TMwxvdQzof-jkXsUik56vQ,105.572,2013-08-26 14:49:16 UTC,183,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,6.198,2013-08-26 14:49:34 UTC,3,""
varying_visualization,full-state,reHvFIulCO2XdLieDykOow,159.721,2013-08-26 14:49:39 UTC,100,""
robot_positioning,default,TMwxvdQzof-jkXsUik56vQ,6.746,2013-08-26 14:49:49 UTC,2,""
robot_positioning,default,VU3dZzyPPpnH3oCEVyZFWw,25.435,2013-08-26 14:50:06 UTC,8,""
maze_positioning,default,SHWkD7IK2DoMa6ywQCktng,134.955,2013-08-26 14:50:39 UTC,476,""
varying_visualization,full-state,tpUHh_zxmiup0E2bwxzoXg,175.153,2013-08-26 14:51:25 UTC,100,""
varying_control,attractive,teKEG79nmSK1f96PTfoowA,204.443,2013-08-26 14:52:24 UTC,16,""
varying_visualization,mean,b84LUaZifEYE3qyONaEauA,69.791,2013-08-26 14:52:26 UTC,100,""
maze_positioning,default,aLhayfCXUJDIogPWYKSEFw,119.774,2013-08-26 14:52:45 UTC,445,""
maze_positioning,default,4DVWRc9p8mNyE07mWc02Jw,193.048,2013-08-26 14:53:07 UTC,93,""
varying_visualization,convex-hull,b84LUaZifEYE3qyONaEauA,62.656,2013-08-26 14:53:43 UTC,100,""
maze_positioning,default,vJYqBsroC2f4Kpbqoid9Tg,122.257,2013-08-26 14:53:47 UTC,483,""
varying_visualization,full-state,1d_B8m9Ykf5Z0jWyQkymmA,88.703,2013-08-26 14:55:02 UTC,100,""
varying_visualization,full-state,b84LUaZifEYE3qyONaEauA,68.794,2013-08-26 14:55:08 UTC,100,""
varying_control,global,Oqj82vHCej5XyVN-1nsjaA,147.104,2013-08-26 14:55:19 UTC,16,""
varying_visualization,mean & variance,eXk0i0CMnHlb6NeXji_qww,165.558,2013-08-26 14:55:21 UTC,100,""
robot_positioning,default,BUxkP42uoaGkFQ-5GjndrQ,3.052,2013-08-26 14:55:57 UTC,1,""
maze_positioning,default,I9_8nUHosNyxHdIBdRWZag,71.64,2013-08-26 14:56:10 UTC,307,""
varying_visualization,convex-hull,L6OUZQ0dGtxaNkmfiIiD9w,291.678,2013-08-26 14:56:37 UTC,100,""
varying_visualization,mean & variance,zjP5lUNc85vhZ8GYi3jycA,62.253,2013-08-26 14:57:18 UTC,100,""
varying_visualization,mean & variance,Vtl7LxNj6W4-cdWZAxALew,232.758,2013-08-26 14:57:27 UTC,100,""
varying_visualization,full-state,MA1HC1e4ZW1kkr38XJCdlg,316.796,2013-08-26 14:59:27 UTC,100,""
robot_positioning,default,dpHw_7x0OlCzqSZHtMC9DA,3.945,2013-08-26 15:00:01 UTC,1,""
robot_positioning,default,Oqj82vHCej5XyVN-1nsjaA,4.288,2013-08-26 15:00:15 UTC,1,""
varying_control,global,b84LUaZifEYE3qyONaEauA,159.751,2013-08-26 15:00:44 UTC,16,""
maze_positioning,default,IC5v2XbewDUyLlOTrIMZWQ,53.886,2013-08-26 15:01:20 UTC,70,""
varying_visualization,full-state,myZjRqnXYfgY5bpv4XK1Dg,159.218,2013-08-26 15:02:09 UTC,100,""
maze_positioning,default,IC5v2XbewDUyLlOTrIMZWQ,49.05,2013-08-26 15:02:40 UTC,296,""
varying_visualization,convex-hull,uN25bWaIT9qL3vaAHg6i0g,143.022,2013-08-26 15:02:45 UTC,100,""
varying_visualization,mean,MA1HC1e4ZW1kkr38XJCdlg,185.902,2013-08-26 15:03:03 UTC,100,""
robot_positioning,default,SHWkD7IK2DoMa6ywQCktng,21.227,2013-08-26 14:52:40 UTC,4,""
varying_visualization,full-state,s-0CacBgr4ujcdJEQL6Brw,152.621,2013-08-26 14:52:43 UTC,100,""
varying_visualization,full-state,BN-AOS27ln8ApKs0So8vbQ,246.735,2013-08-26 14:53:05 UTC,100,""
maze_positioning,default,aLhayfCXUJDIogPWYKSEFw,57.687,2013-08-26 14:54:24 UTC,201,""
maze_positioning,default,teKEG79nmSK1f96PTfoowA,111.961,2013-08-26 14:54:50 UTC,433,""
varying_visualization,full-state,cixZfbGDpSN-BKNNvIiVCQ,116.792,2013-08-26 14:54:56 UTC,100,""
robot_positioning,default,BUxkP42uoaGkFQ-5GjndrQ,9.152,2013-08-26 14:57:01 UTC,4,""
varying_visualization,full-state,Apmd5X4P6axPK0h4exRkFQ,135.195,2013-08-26 14:57:45 UTC,100,""
varying_control,global,dpHw_7x0OlCzqSZHtMC9DA,79.635,2013-08-26 14:58:34 UTC,16,""
varying_visualization,full-state,2amqFPLh9wPHPjV19omsNA,150.972,2013-08-26 14:58:52 UTC,100,""
varying_visualization,full-state,5cec61xa7AqAWwtJc5uK9Q,120.718,2013-08-26 14:59:00 UTC,100,""
maze_positioning,default,Oqj82vHCej5XyVN-1nsjaA,211.84,2013-08-26 14:59:32 UTC,351,""
maze_positioning,default,dpHw_7x0OlCzqSZHtMC9DA,65.787,2013-08-26 14:59:51 UTC,287,""
varying_visualization,full-state,D5K2L7FxgfSr96YSl7U2aA,110.653,2013-08-26 15:00:22 UTC,100,""
maze_positioning,default,zjP5lUNc85vhZ8GYi3jycA,95.778,2013-08-26 15:01:33 UTC,448,""
varying_visualization,full-state,7lDYF3g0U9YfrWQ0wRfIrQ,92.268,2013-08-26 15:02:23 UTC,100,""
pyramid_building,2.3,Ld4txj1CqYHFFEK5-gGR1w,199.464,2013-08-26 15:02:27 UTC,8,""
varying_control,global,5cec61xa7AqAWwtJc5uK9Q,241.07,2013-08-26 15:03:29 UTC,16,""
varying_visualization,mean,o4Sivkr360bEi5hNPzaZxw,138.732,2013-08-26 15:05:08 UTC,100,""
varying_visualization,convex-hull,1Tqk0yg_braPcYi8arvbyw,159.172,2013-08-26 15:05:31 UTC,100,""
varying_visualization,convex-hull,MA1HC1e4ZW1kkr38XJCdlg,129.2,2013-08-26 15:05:33 UTC,100,""
varying_visualization,full-state,1tSUW6mgnw4Dmz9J70JmjA,164.046,2013-08-26 15:06:43 UTC,100,""
varying_visualization,mean & variance,1Tqk0yg_braPcYi8arvbyw,87.175,2013-08-26 15:07:21 UTC,100,""
